annee_numero_de_tirage;jour_de_tirage;date_de_tirage;date_de_forclusion;boule_1;boule_2;boule_3;boule_4;boule_5;numero_chance;combinaison_gagnante_en_ordre_croissant;nombre_de_gagnant_au_rang1;rapport_du_rang1;nombre_de_gagnant_au_rang2;rapport_du_rang2;nombre_de_gagnant_au_rang3;rapport_du_rang3;nombre_de_gagnant_au_rang4;rapport_du_rang4;nombre_de_gagnant_au_rang5;rapport_du_rang5;nombre_de_gagnant_au_rang6;rapport_du_rang6;nombre_de_gagnant_au_rang7;rapport_du_rang7;nombre_de_gagnant_au_rang8;rapport_du_rang8;nombre_de_gagnant_au_rang9;rapport_du_rang9;nombre_de_codes_gagnants;rapport_codes_gagnants;codes_gagnants;numero_jokerplus;devise
24001;VENDREDI;05/07/2024;03/10/2024;5;7;12;11;3;2;3-5-7-11-12+2;0;13000000;11;20957,7;92;791,1;946;355,6;2367;67,7;24956;28,9;25904;17,3;259505;6,2;270118;3;48;20000;G 3051 4150, H 5015 1400, V 8827 5044, C 1363 6980, C 5944 5157, V 6602 5328, V 8827 1443, T 4133 8900, C 5031 2618, V 7051 7509, M 8092 4506, R 8254 6164, A 3433 2979, D 7742 7909, H 3609 2464, E 5232 3845, D 0370 3655, J 9198 9407, F 7070 8298, V 0757 7354, V 8832 9069, L 4890 4253, O 5064 9930, K 2500 7851, J 2648 7812, T 7299 1629, R 5311 2781, J 2273 2933, A 5392 4406, B 9883 3601, O 4041 8403, R 4610 4395, R 7225 9683, R 5261 7161, V 4702 0001, I 8546 1375, H 4601 0041, V 6837 8074, T 0311 5254, S 9447 3277, G 8300 7857, K 0733 2212, M 3396 0586, V 7101 0772, N 7963 3911, E 8512 0764, D 2069 9392, C 3840 5861, Q 3381 4880, D 4938 1527;9254387;eur
23005;DIMANCHE;31/12/2023;30/03/2024;30;28;9;10;13;9;9-10-13-28-30+9;0;13000000;4;133700,6;118;1452,9;1127;693,1;4779;77,9;43609;38,4;59917;17,4;542409;6,9;670733;3;50;20000;O 9844 7880, O 6119 8075, L 8863 7580, R 5610 6232, O 7828 0384, A 5807 3373, M 0821 7400, J 1709 3919, G 7980 9924, V 2139 3115, V 0612 3429, O 9808 7714, N 8744 0554, C 1056 3063, D 6061 9407, F 0030 6854, F 8708 1742, O 8715 4520, K 8640 1355, J 8649 6499, J 9507 9059, O 5504 9677, A 3016 0010, J 3754 9298, R 7394 9551, F 6785 3882, P 6787 3280, K 3660 2233, U 7521 1022, V 8778 3740, V 1066 7188, J 0753 6468, E 5637 7680, R 7344 8359, P 9724 1770, A 1036 3635, H 9689 7334, P 5669 0954, L 7685 8991, N 8670 3534, D 6635 1967, M 9511 8884, N 0981 1902, H 2458 2154, K 4766 9935, S 2208 4101, R 4706 3474, P 6601 6347, U 2529 5234, G 5780 7678;5471567;eur
23004;VENDREDI;13/10/2023;11/01/2024;39;21;7;25;41;6;7-21-25-39-41+6;1;13000000;8;100582,9;80;3279,1;1168;1009,8;4822;116,6;48159;52,5;70854;22,2;692979;8,1;977580;3;49;20000;K 0997 9927, R 6810 3694, P 7623 5780, A 2154 6985, T 0979 5168, I 0461 4077, A 3684 5534, V 2431 8542, T 6192 7545, N 7036 6047, N 8176 2276, V 3173 9347, T 5181 3745, J 0524 6157, F 9940 5520, T 7209 8565, M 4944 9223, Q 4478 4624, K 7959 9808, J 3188 1870, P 7903 3218, B 0546 2306, S 0913 5973, R 2165 4876, L 9053 5388, E 4280 5463, A 6864 8517, J 6716 1520, J 6296 2910, L 7346 3195, M 2696 3913, V 4145 5228, A 2225 8908, L 5652 8731, T 3657 0874, V 5921 7024, F 9124 1074, P 9231 5538, B 0849 2029, O 2474 4989, V 3809 3509, U 8324 1717, F 9070 4936, S 3621 5323, O 6810 7934, J 5834 9888, G 7668 4383, I 6314 1113, S 5464 0065, S 8872 5475;6460098;eur
23003;VENDREDI;15/09/2023;14/12/2023;29;2;30;10;46;3;2-10-29-30-46+3;0;17000000;1;192777,6;33;1904,5;278;1017,3;1449;92,7;12009;50;19282;19,4;168109;8;266008;3;50;20000;E 2401 5792, B 2939 9987, P 0547 4978, T 6736 8567, H 4705 6740, U 8570 2803, B 7489 6600, U 1935 2577, V 8202 5974, I 2317 9922, G 8725 2363, T 3740 4683, T 0490 3116, G 4244 9619, J 5857 2061, N 0668 0518, U 2094 4111, D 4073 7979, E 4954 5264, U 7450 0832, M 1361 1302, I 2631 6693, J 1195 9789, A 4366 8410, Q 1617 7259, R 3667 6026, U 1309 5448, M 0407 9220, M 3423 2962, T 4200 7622, S 6417 2109, T 0521 0432, R 0821 0849, T 1294 2379, A 9050 6010, F 1797 4532, B 0646 5615, B 7487 4326, G 4821 9755, K 5235 0577, Q 7430 8557, N 6471 0690, I 7929 8364, M 6204 5126, Q 5754 1761, V 8734 9048, M 9768 2166, P 4991 8767, G 1262 9876, E 8826 3405;5955529;eur
23002;MARDI;14/02/2023;15/05/2023;35;48;24;12;21;1;12-21-24-35-48+1;0;13000000;2;248299;53;3054,7;708;1027,5;2821;122,6;31722;49,1;38844;24,9;430431;8,1;536457;3;50;20000;C 0056 2023, J 1466 1308, D 5952 8879, J 3523 4028, F 0944 3491, B 7642 5289, A 4733 6418, V 7246 4459, Q 4727 8194, H 1315 8071, V 5885 8783, K 3820 1909, Q 3484 9712, H 4020 2312, F 7151 4242, S 4169 2774, B 3249 0631, J 6244 1743, V 8718 1946, C 8971 2580, U 3624 7993, L 1698 5426, K 3855 8618, I 5998 9761, P 6040 8662, R 7425 7001, V 7690 9314, A 3900 4412, R 7739 3098, P 3574 0342, S 0007 1834, R 6699 3701, V 8705 7240, D 6644 1085, N 3365 9355, M 5185 2987, S 0312 5529, D 6944 2336, J 8921 1671, H 6070 0091, T 3623 6779, S 3615 3180, J 4017 9660, H 1334 7872, L 1323 3849, T 6397 5069, A 9560 5892, H 4861 1514, H 3977 6956, K 7015 6297;6749297;eur
23001;VENDREDI;13/01/2023;13/04/2023;20;35;6;25;48;4;6-20-25-35-48+4;0;16000000;4;209815;113;2400,1;961;1275,9;5021;116,5;45227;58,3;75264;21,8;684416;8,6;1116697;3;50;20000;J 3873 3308, A 2324 0940, G 7299 1737, H 3420 4749, M 3654 3230, D 5183 9705, T 2832 7771, T 7234 8278, K 5373 7054, I 3611 6684, Q 5004 7460, N 6704 2840, M 0586 5119, H 4183 7646, P 1543 1703, S 3888 7911, T 3988 2947, P 5918 9819, F 1235 9442, U 0908 1643, N 7038 3271, R 5296 5248, E 7379 5488, I 9418 4001, T 8658 8744, S 7018 6208, A 1494 0449, A 2266 3356, L 1788 5215, A 3836 0998, C 0615 5165, B 9297 7094, H 5185 4346, D 8018 7348, S 1934 6463, B 6076 2829, O 5981 0096, M 3055 7704, S 5036 6469, S 0201 1457, L 0556 1096, E 0666 0431, M 6998 7414, F 7920 0840, M 2301 9655, V 4121 4250, V 8677 6818, H 4129 8769, I 0536 9441, K 5058 5946;4893810;eur
22005;VENDREDI;07/10/2022;05/01/2023;9;16;29;8;40;4;8-9-16-29-40+4;0;19000000;1;265725,4;40;2165,7;375;1034;1950;94,6;16945;49;26821;19,2;238825;7,7;347758;3;49;20000;I 5340 5783, N 2518 6438, D 0015 0184, R 9541 9497, V 8641 1344, O 2210 1832, I 6471 0033, M 6884 9067, D 5211 1803, B 8750 8708, T 8187 7424, E 5944 5433, V 8640 6022, D 4693 4599, L 5818 8633, L 1744 2192, H 6631 5302, B 3377 6787, K 0176 2968, K 9334 2023, R 1011 8589, D 1929 2597, A 3384 7398, H 2372 7728, C 0313 7999, F 5615 1778, L 0420 2259, R 9621 7924, S 6605 5375, V 8116 8501, V 1160 5533, Q 9542 0987, B 4080 1335, C 4750 2017, E 3399 2933, J 1539 8774, V 8632 8051, M 4118 9765, N 4399 5800, H 0794 2446, O 5470 7827, B 5481 8981, V 8639 6640, V 8649 1832, J 2016 3440, V 8646 9981, L 1796 6067, V 8641 8732, T 6732 4692, I 4454 6948;2175623;eur
22004;VENDREDI;16/09/2022;15/12/2022;48;36;30;34;2;10;2-30-34-36-48+10;0;13000000;0;221055,6;23;12744,5;228;1422,4;1133;135,8;10802;64;16880;25,4;165381;9,3;251838;3;50;20000;T 8451 4586, L 6683 4761, J 4191 8030, P 3238 0964, I 4520 2515, R 9934 5279, R 1875 7521, P 1613 4855, M 7301 8598, R 2985 7518, G 0033 8136, F 0978 8590, R 2452 4634, C 6596 0014, K 0707 1453, R 7599 2942, R 3408 0558, C 0480 7810, V 1571 5358, M 5827 8516, V 8621 1344, F 4040 7786, H 9176 9679, T 3247 8049, I 8626 0904, C 3261 7823, B 3001 2540, B 3329 3092, M 7956 0585, B 7494 2975, J 4895 1202, U 2768 2982, P 3731 0091, S 3314 0012, O 7967 7998, U 1574 0027, D 6373 0361, M 7732 5499, E 5934 3982, O 4314 4538, F 6695 4095, O 7941 7599, F 5474 8610, N 9711 1782, N 3172 7839, V 5539 0079, Q 1090 1567, M 2171 3412, P 7856 4373, G 8590 2963;4781775;eur
20222003;VENDREDI;01/07/2022;30/08/2022;39;2;1;26;48;9;1-2-26-39-48+9;0;13000000;2;188505,5;53;2319,1;396;1396,7;2266;116,5;20272;58,6;34019;21,7;305614;8,7;488460;3;50;20000;C 7273 0900,I 4378 7713,D 2845 0645,K 5191 0808,F 1223 3813,J 4212 7121,P 9618 8877,K 2660 4146,U 1020 9696,V 7308 3918,F 4069 9247,T 2348 6351,O 9268 7885,C 5977 7009,V 5413 9081,V 1855 6942,V 8613 9030,L 8427 1256,S 3394 6131,G 9912 1005,J 2821 6475,C 2251 7119,E 4434 8772,E 3521 2182,R 1592 1264,A 3870 4657,T 6410 5467,S 8190 7482,S 4720 6664,U 9732 4726,K 0427 9621,J 4386 9546,C 6949 4076,R 5433 8075,M 4495 7671,F 6350 1667,D 6994 1444,B 6935 9136,N 1004 4808,F 2307 3057,B 7313 9008,V 2608 7822,O 7808 5819,R 8023 0607,M 2849 3334,G 9491 1974,C 6014 4544,G 8575 3806,B 2721 9842,S 2803 3028;3491802;eur
20222002;VENDREDI;13/05/2022;12/07/2022;2;45;10;9;27;1;2-9-10-27-45+1;0;13000000;10;87159,6;127;2237,4;1414;904,3;5513;110,7;62110;44,2;74448;22,9;820245;7,5;932167;3;50;20000;Q 7952 6775,G 8814 9546,Q 1295 2338,R 3891 8292,F 5545 8202,U 2924 7659,L 0531 9501,H 1497 4004,H 1996 2587,S 7752 1778,T 8737 8161,N 7405 4761,Q 9560 8868,O 3981 5329,B 7045 7238,E 9652 4836,G 0581 1070,S 1006 1362,S 8713 1581,N 5799 5935,C 1780 9458,O 1493 0449,A 6983 4527,P 4992 2403,D 8067 9729,P 0634 0234,T 5943 7975,E 8362 2774,D 9773 0190,B 3294 7920,J 2696 9437,L 0022 1922,I 7369 0088,O 5458 1647,R 4536 5680,C 4524 7559,S 9130 8912,M 3404 5699,M 2723 2477,H 9559 4170,A 9535 1695,O 4330 8926,G 1012 6609,K 5806 2495,H 3343 2645,F 1607 7352,T 5508 7163,O 9926 3093,S 0873 7271,D 2180 6669;189230;eur
